Akkermansiaceae [Family],Prevotellaceae [Family],Bacteroidaceae [Family],Muribaculaceae [Family],Marinifilaceae [Family],Tannerellaceae [Family],Rikenellaceae [Family],Desulfovibrionaceae [Family],Deferribacteraceae [Family],Enterobacteriaceae [Family],Butyricicoccaceae [Family],Peptococcaceae [Family],Ruminococcaceae [Family],Acholeplasmataceae [Family],Anaerovoracaceae [Family],Eggerthellaceae [Family],Lachnospiraceae [Family],Bifidobacteriaceae [Family],Sutterellaceae [Family],Monoglobaceae [Family],Oscillospiraceae [Family],Lactobacillaceae [Family],Enterococcaceae [Family],Clostridiaceae [Family],Erysipelotrichaceae [Family],Erysipelatoclostridiaceae [Family]
0,11.73433056,17.71239126,108.5168326,1.28619645,1.992082656,13.72524918,4.430619541,1.966440226,0,6.735059497,0,13.49410783,0,1.056622008,1.429297294,196.9131041,0,1.554460437,0,40.95393257,12.86708021,0,0,4.167527827,0
0,20.1485705,20.89595778,137.7618309,1.668142266,5.332632846,28.0207763,1.529991928,0,0.632050335,0,0,11.41652396,1.369649278,0,1.668142266,100.1173507,0,4.939040441,0,15.16487526,28.01607619,0,0,6.913104007,1.369649278
0,18.83707785,19.31077173,154.5192145,1.488687396,3.551690212,20.5140663,0.918142538,0.550417758,1.297632159,2.15985567,0,6.248781162,1.72048901,0,0,83.19670655,0,6.190183098,1.649030046,20.41462108,42.71459161,0,0,5.706275101,0
0,12.28852665,22.19285685,129.7132212,2.874651821,3.952465134,32.7822914,1.626227254,0,0,2.272854419,0,5.487250686,1.265213909,0,1.497015523,158.5192268,0,0.962933037,0,18.74753625,39.9670292,0,1.936382183,2.137052878,0
0,20.14540839,21.95827563,141.4678055,1.405952946,4.837994407,28.85324832,2.188939721,1.47741191,0.307340658,1.544103285,0,4.564038418,2.479563933,1.47741191,3.460881855,129.4587323,0,0.818166282,0.818166282,24.52987454,26.99324373,0,0,2.001936379,0
0,13.58830518,18.31783059,102.6478381,1.392860223,2.753555168,27.76253442,1.814842762,0,0,5.156520655,0,10.18828702,2.245972054,1.413898118,0.93502713,213.9028099,0,1.844845347,0.636534141,32.93331911,35.73342435,0,0,6.234828342,0.065989283
0.90333628,19.88945571,25.41961908,154.0101977,2.914310023,4.494214003,25.22039945,0.735365723,0.468018209,1.504110141,2.304229441,0,5.65371909,2.413928358,1.114645374,3.22111377,120.6589756,0,2.077456122,0,28.21637787,38.70903541,0,0,3.484318723,0
3.30974702,19.843032,24.07813867,156.5970978,2.226060381,6.525805022,25.79128237,2.31121819,0.616622469,0,0.984347249,0,5.160430445,0,0.984347249,4.135209052,97.54104266,0,5.45111732,0,17.58612044,28.41430338,0,0,9.477025043,0
0,13.22762263,21.19908844,139.8292817,1.949456231,3.615337172,18.65212152,0,0.540689014,1.639301303,0,0,7.675987603,2.653653248,0,0,154.8169358,0,2.03461404,0,18.03189981,16.86284538,0,0,2.253667606,0
0,17.34261721,19.87504869,155.4867634,2.811319858,2.367827354,21.48965119,2.717501102,1.551066217,0,2.217545151,0,4.89803842,0,0,2.444363093,89.72631682,0,1.004522511,0,19.88043078,37.53438506,0,0.552537387,4.22085509,0
2.617492556,19.65559203,23.45205976,127.534478,1.640982964,2.78454664,20.92654337,1.677272983,0,0,0,1.707674338,8.018955368,1.987259201,1.569524,1.40918135,143.213941,0,1.945536969,0,30.15739172,34.77336674,0,0,4.259370775,0
